num	file	family_group_id
1	021222_085126-231692.pdf	fam_fba43b89cf3d
2	150922_054441-561341.pdf	fam_38dc6a999ec7
3	230822_093835-656386.pdf	fam_87eea19f171a
4	091122_025014-179016.pdf	fam_6358352cfa6b
5	091122_024323-424731.pdf	fam_a2207c5a89fa
6	270622_084916.pdf	fam_2f697fdc4be9
7	141222_085728-923453.pdf	fam_19ff36ea0c8a
8	F008962 องค์การเภสัชกรรม JE21110604 34215270 Lay 1_180422_103112.pdf	fam_5bef774c2d1f
9	160722_055618.pdf	fam_c0bc4e57e745
10	310323_080718-958622.pdf	fam_13a419db7a93
11	310323_080753-756452.pdf	fam_b08ce7bfea6e
12	050922_070151-796515.pdf	fam_2c34293f06c6
13	050922_071013-903783.pdf	fam_ed6c9692e04b
14	120123_033013-659392.pdf	fam_7de0c8798b05
15	270722_094631.pdf	fam_01f415344e0f
16	301122_061838-256827.pdf	fam_3f87b26d5c51
17	F009878 CARGURU LEATHER WAX Lay_120522_151508.pdf	fam_233685e08a64
18	201222_014703-954447.pdf	fam_e15e9c85008a
19	211122_075133-448365.pdf	fam_b40ec61ba4f0
20	060223_060718-184328.pdf	fam_a8cade80cb92
21	251122_070320-962528.pdf	fam_63d476aca2ab
22	060822_025740-464280.pdf	fam_ad5e052f3e33
23	170822_061048-301066.pdf	fam_7427063ba2f0
24	141222_021301-748792.pdf	fam_8716ccd6e700
25	210722_081430.pdf	fam_8dd06e3fa639
26	110123_032136-181066.pdf	fam_9d669e59766c
27	241022_060812-391882.pdf	fam_7ba7acb74dfc
28	300123_003648-343230.pdf	fam_361ad3e75752
29	271022_013939-142887.pdf	fam_4b1a012c3833
30	180822_083917-704199.pdf	fam_7e5a8888e2cb
31	241022_032012-573176.pdf	fam_c9bdf76c25c0
32	251122_071354-423736.pdf	fam_bde8a210ac38
33	F009879 HORSEY CAR CARE Lay_120522_145851.pdf	fam_85e1b11ea1e0
34	151122_025435-361245.pdf	fam_64c362f4cd33
35	060922_014701-353593.pdf	fam_7d3c85d4a590
36	150822_034940-957151.pdf	fam_53ac797c9137
37	200123_013001-447160.pdf	fam_86e10036ab28
38	191022_015853-685343.pdf	fam_67da7ba37fb9
39	231122_025009-495421.pdf	fam_b7c4fd183ef9
40	280922_092150-274485.pdf	fam_593f0ce1a6ca
41	280922_092041-551853.pdf	fam_cf6251ba2cc3
42	280922_091923-712911.pdf	fam_88867530684a
43	260922_095550-592517.pdf	fam_855cc92203ff
44	260922_095302-336922.pdf	fam_78e8c40d439d
45	260922_094556-424311.pdf	fam_d27f4dbf8966
46	260922_094503-887960.pdf	fam_b15f09ece72c
47	260922_093616-452719.pdf	fam_16d3e96b2fcb
48	LAY F009728 กล่องรังนกโบกิ_120422_120345.pdf	fam_56e8410d8df1
49	260822_043455-703961.PDF	fam_588bacc64ae4
50	211122_042836-986336.pdf	fam_4ae67758b9a6
51	270722_093052.pdf	fam_c2db429e219b
52	081122_081806-521069.pdf	fam_38a794f19639
53	260123_021625-818760.pdf	fam_a4544a2e6ac0
54	120123_075859-967269.PDF	fam_2fceac78204d
55	151122_023840-166677.pdf	fam_2f2d7f05ab94
56	231222_012302-509020.pdf	fam_8179a1801a50
57	250822_063324-643419.pdf	fam_f9f6e822b223
58	160822_070830-555060.pdf	fam_1e4960d52bc8
59	F009801 CHEESE STICK Lay_270422_160654.pdf	fam_adbf0fa0d640
60	F009799 PIZZA (HAWAIIAN) 135 G lay_270422_151243.pdf	fam_c9103c9eadb2
