relative_path	sha256	file_size	producer_raw	profile	profile_version	code_version	page_count	cut_len	crease_len	total_stroke_len	cov_cut	cov_crease	assigned_coverage_total	dist_cut	dist_crease	ambiguous_len	unassigned_len	neutral_len	other_structural	other_colors	n_up_guess	component_count	extracted
test/uploads/010223_013414-363949.pdf	edca5c8b457a4f472e64ffb8a15a3b0275807ca3c8d7a6f141c17a67ee01a62f	26183427	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	12934	9318	190735	0.068	0.049	0.117	0.0	0.0	0	16756	16593	1	(0.95, 0.44, 0.26):6542;(0.37, 0.59, 0.71):6347;(0.4, 0.17, 0.57):3638;(0.37, 0.18, 0.57):142;(0.0, 0.68, 0.94):87	3	41	1
test/uploads/010223_021059-233347.pdf	1555dbaa5536d15106e0587a313502f766fc06a1c785eddedb345258ddc791a1	4309644	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	22299	16140	92431	0.241	0.175	0.416	0.0	0.0	0	1557	343	0	(0.4, 0.17, 0.57):1448;(0.93, 0.0, 0.55):81;(0.0, 0.68, 0.94):28	7	117	1
test/uploads/010223_055342-232176.pdf	6e1629983bbfacf75488887260fe88eaa40c4480f9d1c492807e503c59068a8b	150059	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	32694	21334	59021	0.554	0.361	0.915	0.0	0.0	0	0	4994	0		1	196	1
test/uploads/010223_061146-693661.pdf	9731727dbcfe5c4e4e9a6a7538f137b873e5dab9f215a2eca5bf3d045f124531	143343	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	26772	21620	53386	0.501	0.405	0.906	0.0	0.0	0	0	4994	0		12	234	1
test/uploads/010223_063211-261727.pdf	ca428df510180b34a913a20354be83465d87a5ff0cf1bd8ed3de0e3ecc19852b	132166	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	21884	19206	46084	0.475	0.417	0.892	0.0	0.0	0	0	4994	0		15	160	1
test/uploads/010223_072616-469890.pdf	7f2e35611bbfd71f89c4ab2c530f16e90ab0ae79bb3bf2134c6f263a49d31403	5152755	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	4950	3120	53697	0.092	0.058	0.15	0.0	0.0	0	0	3049	0		2	40	1
test/uploads/010323_050555-128863.pdf	ea8086679883a120b943a838ff93727810537e416dc9dcafb5a549a04108e707	115875	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	8101	3878	16972	0.477	0.228	0.706	0.0	0.0	0	0	4994	0		1	22	1
test/uploads/010323_060935-258718.pdf	70a67933c0863df0d63359b35d7b96c3d0eff9c14b669c8e508cf9ab547c43a1	1170790	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	34755	5060	94321	0.368	0.054	0.422	0.0	0.0	0	7605	3353	1	(0.0, 0.6, 0.51):5439;(0.96, 0.67, 0.72):2166;(0.55, 0.44, 0.3):0	11	707	1
test/uploads/010623_035227-144934.pdf	879a2779dbb5323c558204f6f039efffbbc7c166557080d51350b52b7338c81b	2608813	Adobe PDF library 9.90	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	10296	3316	72332	0.142	0.046	0.188	0.0	0.0	0	0	3349	0		5	106	1
test/uploads/010623_035239-865943.pdf	d06d313b84415c6e0efc7332bfa1d019bfb15d569e65cda850680fb606b808b8	2600531	Adobe PDF library 9.90	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	10296	3316	71946	0.143	0.046	0.189	0.0	0.0	0	0	3349	0		5	99	1
test/uploads/010623_040242-409977.pdf	73a7219c3230af96493845f7f8e7ac5a3cc213101a3b4d0f8fca3813b8cf74aa	278757	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	29832	14246	44078	0.677	0.323	1.0	0.0	0.0	0	0	0	0		10	154	1
test/uploads/010623_042842-681862.pdf	313246a6e43e05a3d898e630ed8e91e9c3c57e04587efae9af5fa48c07a96385	117533	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	13209	6263	24466	0.54	0.256	0.796	0.0	0.0	0	0	4994	0		1	39	1
test/uploads/010623_063619-854417.pdf	b8470ee46c4a7ac3eacf6b0656cfb773192131b1d4a2d483ed97a1ef15f44fcb	119105	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	14281	6884	26428	0.54	0.26	0.801	0.0	0.0	0	0	5263	0		1	38	1
test/uploads/010623_063821-107331.pdf	86133b13b82e094a3503ccb3c8bf2f1d459a0d2cb2a75fbe850e6b7bc0b79bce	118897	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	14154	7094	26511	0.534	0.268	0.801	0.0	0.0	0	0	5263	0		1	44	1
test/uploads/010623_072435-686211.pdf	ba70f84ec16246ceec563364fea78ace4fa5d1212b13c7d4d8594c0116e0c760	4148183	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	5276	2276	77358	0.068	0.029	0.098	0.0	0.0	0	8718	8289	1	(0.0, 0.68, 0.94):7739;(0.44, 0.44, 0.7):934;(0.67, 0.88, 0.98):45	1	56	0
test/uploads/010922_071406-205743.pdf	e8ecaf82a3d57ccfb891bb081170dd66f50d4731ac123ed7beff89a970020828	79828	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	36048	7535	43583	0.827	0.173	1.0	0.0	0.0	0	0	0	0		2	59	1
test/uploads/010922_071413-461220.pdf	c59e242fd632475c1671a9184b408066dd1bfe97eb6ec0db1b8e90d6f17f121a	99431	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	25842	19900	45742	0.565	0.435	1.0	0.0	0.0	0	0	0	0		4	152	1
test/uploads/010922_100102-217423.pdf	da750093fb64f8a07c2574a75d8d5fc60306cbc52dba221043c69992190a6c41	1875215	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	9243	5188	206683	0.045	0.025	0.07	0.0	0.0	0	44731	11662	1	(0.0, 0.68, 0.94):40805;(0.73, 0.33, 0.62):2513;(0.44, 0.44, 0.7):1322;(0.7, 0.9, 0.98):91;(0.91, 0.15, 0.16):0	2	88	0
test/uploads/011022_042323-391636.pdf	81234140836ee01245acfa97726c5c0f9259b5c49a5f3dea1680535420fac4d1	129697	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	21003	10951	36948	0.568	0.296	0.865	0.0	0.0	0	0	4994	0		4	60	1
test/uploads/011222_012342-943698.pdf	37a8793ae1a1f3485f54d61c782c4edb25fe3950239e1693a5996eaf6ec8f606	161573	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	35580	24387	64961	0.548	0.375	0.923	0.0	0.0	0	0	4994	0		6	393	1
test/uploads/011222_013017-545727.pdf	a997804ebeac28d5c7ad11b64dc1c2bb190bb27a0b7d30cfc896f4add9734b0e	9161065	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	7567	7268	365518	0.021	0.02	0.041	0.0	0.0	0	1589	10994	0	(0.44, 0.44, 0.7):1322;(0.0, 0.68, 0.94):206;(0.73, 0.33, 0.62):60	1	8	0
test/uploads/011222_013020-208291.pdf	f9e6285f4bd74449661a45324f22ffa5954a4d6f8fce884a771e97034f6716f3	9570588	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	7567	7268	389542	0.019	0.019	0.038	0.0	0.0	0	1589	10994	0	(0.44, 0.44, 0.7):1322;(0.0, 0.68, 0.94):206;(0.73, 0.33, 0.62):60	1	8	0
test/uploads/011222_013024-525427.pdf	10b126c862d3aa09d30b681213a416295ad409f69c4b951d6ee77b06f0337866	8796178	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	7567	7268	360576	0.021	0.02	0.041	0.0	0.0	0	1589	10994	0	(0.44, 0.44, 0.7):1322;(0.0, 0.68, 0.94):206;(0.73, 0.33, 0.62):60	1	8	0
