relative_path	sha256	producer_raw	profile	profile_version	stratum	selection_seed	selection_reason	page_count	overlay	candidate_status	cut_len	crease_len	cov_cut	cov_crease	dist_cut	dist_crease	ambiguous_len	unassigned_len	other_structural	other_colors	component_count	n_up_guess	reviewer_id	reviewed_at	cut_clean	cut_complete	crease_clean	crease_complete	other_structural_missing	complete_net	n_up_actual	component_count_actual	audit_pass	failure_reason	notes	expert_box_type	expert_is_custom	expert_style_confidence
test/uploads/090123_032852-361792.pdf	0525d38a051f4c8ca3ae878db049f22965b3f215d8c3f188791e87d16b862e35	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	single|lo|onepg|oc1	stageA_v1_sha256order	threshold_near	1	adobe_01_0525d38a.png	extracted	4934	2005	0.092	0.038	0.0	0.0	0	1691	1	(0.44, 0.44, 0.7):1322;(0.74, 0.83, 0.9):231;(0.93, 0.11, 0.14):138;(0.05, 0.17, 0.26):0;(0.02, 0.17, 0.28):0	5	1																
test/uploads/130623_042245-632696.pdf	05884474887355a3dbede69dad4159a77f2c80dd24e1e6ca8b14ebf7ced52112	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	single|lo|onepg|oc1	stageA_v1_sha256order	threshold_near	1	adobe_02_05884474.png	extracted	5218	2523	0.071	0.034	0.0	0.0	0	8908	1	(0.0, 0.68, 0.94):7928;(0.44, 0.44, 0.7):934;(0.7, 0.9, 0.98):45	53	1																
test/uploads/080923_123720-228957.pdf	081900050caa0eeda50a2a052dd4f03431efad908ef4ada85a4f7bff6cfab519	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	single|lo|onepg|oc0	stageA_v1_sha256order	threshold_near	1	adobe_03_08190005.png	extracted	4267	3604	0.037	0.031	0.0	0.0	0	1173	0	(0.44, 0.44, 0.7):1015;(0.18, 0.19, 0.57):158	21	1																
test/uploads/110823_130031-141626.pdf	082a5c4b9d5263d60f59043785d56350b6c8b3fc3ec6a15e5598248275822258	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	single|lo|onepg|oc1	stageA_v1_sha256order	threshold_near	1	adobe_04_082a5c4b.png	extracted	5566	3285	0.069	0.041	0.0	0.0	0	18708	1	(0.0, 0.68, 0.94):17913;(0.44, 0.44, 0.7):794	2	1																
test/uploads/111122_011725-689866.pdf	0a5addc1830e557574c56db8e30acc9b501e5830ab0939be5f32bde7b6bace93	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	nup|mid|onepg|oc1	stageA_v1_sha256order	threshold_near	1	adobe_05_0a5addc1.png	extracted	27219	2518	0.351	0.032	0.0	0.0	0	5636	1	(0.0, 0.6, 0.51):5636	707	10																
test/uploads/130623_042255-871592.pdf	0b9563b62829e27792aab210f5f6a6e71f3f9abb63d6a7219cd1c34897910ae4	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	single|lo|onepg|oc1	stageA_v1_sha256order	threshold_near	1	adobe_06_0b9563b6.png	extracted	5218	2523	0.071	0.035	0.0	0.0	0	8908	1	(0.0, 0.68, 0.94):7928;(0.44, 0.44, 0.7):934;(0.7, 0.9, 0.98):45	53	1																
test/uploads/F009606 ENC1028-1EN Tuna With Salmon 16x70g Tin SRP Cover 100472_250522_170910.pdf	120540d6c251a494307d297ca543ad3aa4982d900b421dddd54b4c11139cf15c	Adobe PDF library 16.03	adobe_ocg_v1	adobe_ocg_v1	single|lo|onepg|oc1	stageA_v1_sha256order	threshold_near	1	adobe_07_120540d6.png	extracted	4080	1632	0.103	0.041	0.0	0.0	0	1418	1	(0.44, 0.44, 0.7):1280;(0.93, 0.0, 0.55):138	5	1																
test/uploads/030323_072740-989488.pdf	13171f3a7970f160353d33cdcbf7b28a38d1c74cbd23d0e9202ef8df70405c37	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	single|lo|onepg|oc1	stageA_v1_sha256order	threshold_near	1	adobe_08_13171f3a.png	extracted	4934	2004	0.092	0.038	0.0	0.0	0	1691	1	(0.44, 0.44, 0.7):1322;(0.74, 0.83, 0.9):231;(0.93, 0.11, 0.14):138;(0.02, 0.17, 0.28):0	5	1																
test/uploads/210123_023140-686120.pdf	1849a1d97c7cd61b4620edd116b8374af494a9e73ce2d1a8aa11420f869870fb	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	nup|lo|onepg|oc1	stageA_v1_sha256order	threshold_near	1	adobe_09_1849a1d9.png	extracted	36104	5756	0.211	0.034	0.0	0.0	0	15089	1	(0.0, 0.6, 0.51):13691;(1.0, 0.82, 0.0):869;(0.0, 0.59, 0.24):530	662	4																
test/uploads/220323_062859-733147.pdf	0036aeb70091aa75441294566585ad948bd60dcdf6a02e929d16919969c12193	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	nup|hi|onepg|oc0	stageA_v1_sha256order	negative_control_partial	1	adobe_10_0036aeb7.png	partial	81065	0	0.939	0.0	0.0	0.0	0	0	0		76	10																
