relative_path	sha256	file_size	producer_raw	profile	profile_version	code_version	page_count	cut_len	crease_len	total_stroke_len	cov_cut	cov_crease	assigned_coverage_total	dist_cut	dist_crease	ambiguous_len	unassigned_len	neutral_len	other_structural	other_colors	n_up_guess	component_count	extracted
test/uploads/010223_002840-955771.pdf	a51ff0a953e12fa75f105d7af0c7920ade143ac8c8281480208d1cbf2e0ef288	79279	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	17275	11594	36209	0.477	0.32	0.797	0.0	0.0	0	896	6444	1	(0.88, 0.51, 0.15):895;(0.16, 0.16, 0.45):1	6	6	1
test/uploads/010223_002853-335897.PDF	f14dce028efca02a5b2a27249879e0a54ed0d0d87c74bb0a6f5cde17f61a8c49	163069	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	8750	5902	33811	0.259	0.175	0.433	0.0	0.0	0	6259	12899	1	(0.13, 0.26, 0.54):5811;(0.88, 0.51, 0.15):448;(0.16, 0.16, 0.45):0	3	4	1
test/uploads/010223_023416-513747.PDF	c3f41f6c795e24369fecb7bbe24a1e9428940b1d29ac4818f3d32e25e471667a	148498	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	3139	4683	14753	0.213	0.317	0.53	0.0	0.0	0	29	6902	0	(0.92, 0.03, 0.55):29	1	3	1
test/uploads/010223_023418-893126.pdf	d5afed5925aaf938aab18de8e5c9005773d4fa82c39ea78fb0457814eb32a41a	97244	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	12424	18620	36898	0.337	0.505	0.841	0.0	0.0	0	0	5854	0		4	15	1
test/uploads/010223_063207-677499.PDF	f703b2ada91a85bd0cd53b3087f50b01ac3a9b4d343c9b41558a207bb7762ee6	22961	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	2301	0	8192	0.281	0.0	0.281	0.199	9.9	0	2072	3819	1	(0.38, 0.38, 1.0):2072	1	1	0
test/uploads/010323_004623-692638.PDF	99475dc1e69dd71feaf4cc9c47bfbc1935787eabdad1fd03aa2ca7fe7aa128d0	210592	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	62	1347	9215	0.007	0.146	0.153	0.0	0.0	0	58	7749	0	(0.92, 0.03, 0.55):58	1	1	0
test/uploads/010323_004631-838823.pdf	a709776cc6567b02a273d3e100a57937095f5c4204079c034523b48381455ee9	74498	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	0	5166	12107	0.0	0.427	0.427	0.0	0.0	0	0	6940	0		0	0	0
test/uploads/010323_004944-276167.PDF	99475dc1e69dd71feaf4cc9c47bfbc1935787eabdad1fd03aa2ca7fe7aa128d0	210592	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	62	1347	9215	0.007	0.146	0.153	0.0	0.0	0	58	7749	0	(0.92, 0.03, 0.55):58	1	1	0
test/uploads/010323_005003-507549.pdf	a709776cc6567b02a273d3e100a57937095f5c4204079c034523b48381455ee9	74498	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	0	5166	12107	0.0	0.427	0.427	0.0	0.0	0	0	6940	0		0	0	0
test/uploads/010323_005805-548424.pdf	5a48d620fa687b6057e970b4596dd69c42de448e760ea7bca6a92f846e2be409	95917	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	15879	16408	38141	0.416	0.43	0.847	0.0	0.0	0	0	5854	0		4	16	1
test/uploads/010323_015244-294640.pdf	cebf9ffec5b412458586fe6c09af7ade2013e212ef5d950d68c029a759d59ce4	68690	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	10133	2242	18975	0.534	0.118	0.652	0.0	0.0	0	0	6601	0		3	3	1
test/uploads/010323_064834-995413.PDF	8b73d6694ec58a5e54d30b99be99d1b7b82791edcca49fe5b230bb5a48487cc4	100199	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	2928	1368	7143	0.41	0.192	0.601	0.03	0.079	0	0	2847	0		2	4	1
test/uploads/010423_090530-896215.PDF	03a3bcb44c10cbea844b827abc5796da30498bcceba580c694a08e764d200261	166498	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	5239	3194	21825	0.24	0.146	0.386	0.0	0.0	0	89	13303	0	(0.92, 0.03, 0.55):89	2	3	1
test/uploads/010423_090536-285956.pdf	5de14ee015e449d15625f195cf7e157c898fb855606e01cacbdbe24b96344472	102364	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	20772	12606	39418	0.527	0.32	0.847	0.0	0.0	0	186	5854	0	(0.92, 0.03, 0.55):186	5	10	1
test/uploads/010623_015712-432511.pdf	85ab718eb5e369500679f251c2e789b819ac16ae2b33f6bb8011c3b8bf69c507	100586	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	17689	12633	39520	0.448	0.32	0.767	0.0	0.0	0	1824	7374	1	(0.92, 0.03, 0.55):1688;(0.41, 0.74, 0.27):136	3	15	1
test/uploads/010623_032317-935078.pdf	af627d6dca0fd45a84987420133319ea9d81ca5c0ea230f7d9bb6f9c935816f6	83180	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	15931	9216	31928	0.499	0.289	0.788	0.0	0.0	0	217	6563	0	(0.92, 0.03, 0.55):217	2	6	1
test/uploads/010623_032326-715194.PDF	86fa6716f1b01a8fda3409aa6dec6234e66fc10e69d50a39442cec10070adc00	167439	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	8012	4651	30535	0.262	0.152	0.415	0.0	0.0	0	151	17722	0	(0.92, 0.03, 0.55):151	1	4	1
test/uploads/010623_033021-839728.pdf	a8c1375e20c7abfe3a2934aea7d0b5b47fb1b1431a6df9a51d260cd3743d8fe8	90240	PackDesign 2008 by BCSI Systems BV	bcsi_packdesign_2008_v1	bcsi_packdesign_2008_v1	dd47a14	1	17370	10569	34929	0.497	0.303	0.8	0.0	0.0	0	278	6712	0	(0.92, 0.03, 0.55):278	2	6	1
