file	proxy	geo_guess	crash	crash_ratio	crease_h	crease_v	n_cut
010223_013414-363949.pdf	12	1	0	0.0	6	12	50
010223_021059-233347.pdf	12	1	0	0.0	42	24	81
010223_055342-232176.pdf	1	1	0	0.0	72	0	220
010223_061146-693661.pdf	1	1	0	0.0	36	0	130
010223_063211-261727.pdf	1	1	0	0.0	36	0	130
010223_072616-469890.pdf	1	1	0	0.0	4	10	38
010323_050555-128863.pdf	12	1	0	0.0	4	2	26
010323_060935-258718.pdf	12	4	6	0.057	5	9	106
010623_035227-144934.pdf	12	1	0	0.0	10	4	50
010623_035239-865943.pdf	12	1	0	0.0	10	4	50
010623_040242-409977.pdf	12	1	0	0.0	0	24	160
010623_042842-681862.pdf	12	1	0	0.0	4	2	24
010623_063619-854417.pdf	12	1	0	0.0	4	2	24
010623_063821-107331.pdf	12	1	0	0.0	4	2	24
010623_072435-686211.pdf	12	4	4	0.1	10	4	40
010922_071406-205743.pdf	4	1	0	0.0	20	0	192
010922_071413-461220.pdf	4	4	24	0.197	36	16	122
010922_100102-217423.pdf	4	4	8	0.154	13	6	52
011022_042323-391636.pdf	12	4	16	0.085	44	24	188
011222_012342-943698.pdf	4	4	18	0.117	42	24	154
011222_013017-545727.pdf	3	1	1	0.033	9	4	30
011222_013020-208291.pdf	3	1	1	0.033	9	4	30
011222_013024-525427.pdf	3	1	1	0.033	9	4	30
011222_030650-496115.pdf	1	12	0	0.0	1	0	113
020223_031132-169611.pdf	3	1	0	0.0	8	4	34
020323_002408-534130.pdf	12	12	0	0.0	0	0	64
020323_003327-516114.pdf	3	1	0	0.0	10	4	33
020323_003331-385566.pdf	3	1	0	0.0	10	4	33
020323_055559-387575.pdf	1	1	0	0.0	32	16	148
020523_025245-622122.pdf	1	1	0	0.0	24	12	88
020623_074041-756297.pdf	12	1	0	0.0	24	32	126
020822_100903.pdf	12	4	6	0.087	0	0	69
021122_042125-473229.pdf	4	1	0	0.0	24	24	148
021122_082716-868857.pdf	12	1	0	0.0	81	18	184
021122_084009-929310.pdf	12	1	0	0.0	54	0	184
021122_091421-986939.pdf	?	4	4	0.143	4	2	28
021122_100850-733868.pdf	3	4	16	0.148	32	16	108
021222_030039-942976.pdf	12	1	0	0.0	48	72	160
021222_031046-265712.pdf	4	4	10	0.147	8	16	68
021222_033109-833633.pdf	12	12	0	0.0	0	0	0
021222_033210-728036.pdf	12	1	0	0.0	48	72	160
021222_033317-139877.pdf	12	1	0	0.0	48	72	160
030123_090159-694045.pdf	?	4	8	0.118	22	8	68
030223_043928-257182.pdf	1	1	0	0.0	32	16	148
030223_060856-259550.pdf	1	1	0	0.0	32	0	180
030223_062714-261480.pdf	1	1	0	0.0	32	0	180
030323_020207-499769.pdf	1	1	0	0.0	32	32	56
030323_072710-933251.pdf	12	1	2	0.057	2	2	35
030323_072740-989488.pdf	12	1	2	0.057	2	2	35
030323_091904-812913.pdf	1	4	4	0.07	4	4	57
030423_082623-279648.pdf	12	4	12	0.2	8	8	60
030523_031656-492396.pdf	12	1	0	0.0	0	64	236
030523_035506-101364.pdf	1	1	0	0.0	24	12	136
030622_030835.pdf	?	4	6	0.061	10	4	99
030622_032422.pdf	4	4	6	0.061	10	4	99
030723_140950-709810.pdf	1	1	0	0.0	8	16	48
030723_141325-253940.pdf	1	1	0	0.0	8	4	32
030822_011922.pdf	12	4	6	0.087	0	0	69
030822_020738.pdf	3	12	0	0.0	0	0	12
030822_020802.pdf	3	12	0	0.0	0	0	12
