file	producer_bucket	has_struct_layer	separable_cut_crease	n_struct_layers
010223_002840-955771.pdf	bcsi_packdesign			0
010223_002853-335897.PDF	bcsi_packdesign			0
010223_013414-363949.pdf	adobe	Y	Y	1
010223_021037-143435.pdf	office_print			0
010223_021059-233347.pdf	adobe	Y	Y	1
010223_023416-513747.PDF	bcsi_packdesign			0
010223_023418-893126.pdf	bcsi_packdesign			0
010223_023715-466591.pdf	cairo			0
010223_032739-453742.pdf	other			0
010223_032754-879844.pdf	cairo			0
010223_054056-194665.pdf	office_print			0
010223_055208-106847.pdf	adobe			0
010223_055221-137420.PDF	adobe			0
010223_055342-232176.pdf	adobe	Y	Y	1
010223_061138-476144.pdf	adobe			0
010223_061142-709690.PDF	adobe			0
010223_061146-693661.pdf	adobe	Y	Y	1
010223_063203-775647.pdf	adobe			0
010223_063207-677499.PDF	bcsi_packdesign			0
010223_063211-261727.pdf	adobe	Y	Y	1
010223_064522-702035.pdf	cairo			0
010223_070422-119157.pdf	cairo			0
010223_071246-142440.pdf	cairo			0
010223_071329-889669.pdf	cairo			0
010223_071951-767593.pdf	adobe			0
010223_071954-598273.pdf	adobe			0
010223_072616-469890.pdf	adobe	Y	Y	1
010223_072758-102351.pdf	adobe			0
010223_075730-905199.pdf	cairo			0
010223_075756-873968.pdf	cairo			0
010223_075850-529055.pdf	cairo			0
010223_080316-708038.pdf	cairo			0
010223_080812-422539.pdf	cairo			0
010223_110009-381371.pdf	cairo			0
010323_003352-766662.PDF	adobe			0
010323_004623-692638.PDF	bcsi_packdesign			0
010323_004631-838823.pdf	bcsi_packdesign			0
010323_004944-276167.PDF	bcsi_packdesign			0
010323_005003-507549.pdf	bcsi_packdesign			0
010323_005805-548424.pdf	bcsi_packdesign			0
010323_015244-294640.pdf	bcsi_packdesign			0
010323_032618-315863.pdf	cairo			0
010323_032652-554859.pdf	adobe			0
010323_050552-382778.pdf	adobe			0
010323_050555-128863.pdf	adobe	Y	Y	1
010323_050607-191842.pdf	other			0
010323_060050-667318.pdf	other			0
010323_060329-457643.pdf	other			0
010323_060344-788224.pdf	other			0
010323_060935-258718.pdf	adobe	Y	Y	1
010323_064727-943543.pdf	cairo			0
010323_064834-995413.PDF	bcsi_packdesign			0
010323_083008-559117.pdf	other			0
010423_063641-762944.pdf	other			0
010423_090530-896215.PDF	bcsi_packdesign			0
010423_090536-285956.pdf	bcsi_packdesign			0
010622_011617.pdf	office_print			0
010622_012031.pdf	office_print			0
010622_012039.pdf	office_print			0
010622_012315.pdf	other			0
010622_013055.pdf	adobe			0
010623_005047-747586.pdf	cairo			0
010623_012939-109012.pdf	office_print			0
010623_013001-874416.pdf	adobe			0
010623_015708-691587.PDF	adobe			0
010623_015712-432511.pdf	bcsi_packdesign			0
010623_015715-882917.pdf	other			0
010623_015910-182198.PDF	adobe			0
010623_023837-265683.pdf	office_print			0
010623_024248-843541.pdf	other			0
010623_024521-622333.pdf	office_print			0
010623_024547-476235.PDF	adobe			0
010623_032317-935078.pdf	bcsi_packdesign			0
010623_032326-715194.PDF	bcsi_packdesign			0
010623_033021-839728.pdf	bcsi_packdesign			0
010623_033028-915582.PDF	bcsi_packdesign			0
010623_035227-144934.pdf	adobe	Y	Y	1
010623_035239-865943.pdf	adobe	Y	Y	1
010623_040226-433798.pdf	other			0
010623_040230-333943.pdf	other			0
010623_040242-409977.pdf	adobe	Y	Y	1
010623_040250-519082.pdf	cairo			0
010623_042448-547189.PDF	adobe			0
010623_042842-681862.pdf	adobe	Y	Y	1
010623_063619-854417.pdf	adobe	Y	Y	1
010623_063821-107331.pdf	adobe	Y	Y	1
010623_071612-656031.pdf	cairo			0
010623_072047-364552.pdf	adobe			0
010623_072435-686211.pdf	adobe	Y	Y	1
010623_092902-511288.pdf	adobe			0
010623_095411-617322.PDF	adobe			0
010623_095417-247091.PDF	adobe			0
010623_103801-786569.pdf	office_print			0
010623_103810-539621.pdf	office_print			0
010722_031409.pdf	other			0
010722_031423.pdf	cairo			0
010722_060924.pdf	other			0
010722_061552.pdf	adobe			0
010722_061557.pdf	adobe			0
