file	n_cut_solid	n_crease_dashed	แยกได้	dash_patterns
010223_013414-363949.pdf	56	78	Y	{'[ 5 5 5 5 5 ': 57, '[] 0': 56, '[ 20 5 20 5 ': 21}
010223_021059-233347.pdf	174	75	Y	{'[] 0': 144, '[ 20 5 20 5 ': 60, 'None': 30, '[ 5 5 5 5 5 ': 15}
010223_055342-232176.pdf	934	288	Y	{'[] 0': 934, '[ 15 5 ] 0': 216, '[ 5.297 5.29': 72}
010223_061146-693661.pdf	538	189	Y	{'[] 0': 538, '[ 5.919 5.91': 81, '[ 15.258 5.0': 27, '[ 14.891 4.9': 27}
010223_063211-261727.pdf	340	171	Y	{'[] 0': 340, '[ 15 5 ] 0': 108, '[ 5.919 5.91': 63}
010223_072616-469890.pdf	85	28	Y	{'None': 57, '[] 0': 28, '[ 2 1 ] 0': 14, '[ 1.804 .902': 14}
010323_050555-128863.pdf	40	6	Y	{'[] 0': 40, '[ 15 5 ] 0': 6}
010323_060935-258718.pdf	1593	84	Y	{'None': 1344, '[] 0': 249, '[ 5 3 ] 0': 10, '[ 8 6 ] 0': 9}
010623_035227-144934.pdf	140	30	Y	{'None': 81, '[] 0': 59, '[ 3 1 3 1 3 ': 30}
010623_035239-865943.pdf	140	30	Y	{'None': 81, '[] 0': 59, '[ 3 1 3 1 3 ': 30}
010623_040242-409977.pdf	452	116	Y	{'[] 0': 452, '[ 4.8 4.8 ] ': 30, '[ 19.634 4.9': 12, '[ 18.91 4.72': 12}
010623_042842-681862.pdf	62	12	Y	{'[] 0': 62, '[ 11.746 11.': 6, '[ 26.942 14.': 2, '[ 27.681 15.': 2}
010623_063619-854417.pdf	62	12	Y	{'[] 0': 62, '[ 11.746 11.': 6, '[ 26.681 14.': 2, '[ 26.592 14.': 2}
010623_063821-107331.pdf	66	14	Y	{'[] 0': 66, '[ 11.746 11.': 8, '[ 17.146 15.': 2, '[ 17.269 15.': 2}
010623_072435-686211.pdf	130	24	Y	{'[] 0': 130, '[ 6.432 6.43': 6, '[ 20.236 5.0': 3, '[ 18.467 4.6': 3}
010922_071406-205743.pdf	228	61	Y	{'[] 0': 228, '[ 21.702 5.4': 40, '[ 18.565 4.6': 20, '[ 20 5 ] 0': 1}
010922_071413-461220.pdf	284	163	Y	{'[] 0': 284, '[ 5 5 ] 0': 73, '[ 12.649 3.1': 12, '[ 5.669 2.83': 5}
010922_100102-217423.pdf	135	41	Y	{'[] 0': 135, '[ 5 5 ] 0': 18, '[ 21.702 5.4': 4, '[ 12.649 3.1': 3}
011022_042323-391636.pdf	220	84	Y	{'[] 0': 220, '[ 14.413 4.8': 20, '[ 14.275 4.7': 16, '[ 14.196 4.7': 16}
011222_012342-943698.pdf	622	180	Y	{'[] 0': 622, '[ 4.277 4.27': 72, '[ 8.008 2.66': 12, '[ 4.388 4.38': 12}
011222_013017-545727.pdf	36	22	Y	{'[] 0': 36, '[ 5 5 ] 0': 6, '[ 20.209 5.0': 2, '[ 19.854 4.9': 1}
011222_013020-208291.pdf	36	22	Y	{'[] 0': 36, '[ 5 5 ] 0': 6, '[ 20.209 5.0': 2, '[ 19.854 4.9': 1}
011222_013024-525427.pdf	36	22	Y	{'[] 0': 36, '[ 5 5 ] 0': 6, '[ 20.209 5.0': 2, '[ 19.854 4.9': 1}
011222_030650-496115.pdf	31	1	Y	{'None': 30, '[ 12 5 12 5 ': 1, '[] 0': 1}
